Rk,Player,From,To,Draft,Tm,Lg,Games G,Games GS,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Int,Passing Pick6,Passing TD%,Passing Int%,Passing Rate,Passing Sk,Passing Yds2,Passing Sk%,Passing Y/A,Passing AY/A,Passing ANY/A,Passing Y/G,Passing W,Passing L,Passing T,Passing 4QC,Passing GWD
436,Dan Manucci,1987,1987,5-116,BUF,NFL,3,1,7,21,33.33,68,0,2,,0,9.52,3.8,3,27,12.5%,3.24,-1.05,-2.04,22.7,0,1,0,0,1
437,Jordan Palmer,2008,2014,6-205,TOT,NFL,5,0,11,18,61.11,66,0,2,1,0,11.11,28.7,4,31,18.2%,3.67,-1.33,-2.50,13.2,0,0,0,0,0
438,Cory Sauter,2002,2002,,CHI,NFL,1,0,6,9,66.67,59,0,0,,0,0.00,85.0,4,20,30.8%,6.56,6.56,3.00,59.0,0,0,0,,
439,Brett Basanez,2006,2006,,CAR,NFL,1,0,6,11,54.55,56,0,1,,0,9.09,30.9,0,0,0.0%,5.09,1.00,1.00,56.0,0,0,0,,
440,Mark Stevens,1987,1987,,SFO,NFL,2,0,2,4,50.00,52,1,0,,25,0.00,135.4,0,0,0.0%,13.00,18.00,18.00,26.0,0,0,0,,
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD
441,Brad Smith,2006,2014,4-103,TOT,NFL,127,24,4,10,40.00,51,1,2,,10,20.00,50.4,1,6,9.1%,5.10,-1.90,-2.27,0.4,0,0,0,,
442,Terry Nugent,1987,1987,6-158,CLT,NFL,1,0,3,5,60.00,47,0,0,,0,0.00,91.2,1,9,16.7%,9.40,9.40,6.33,47.0,0,0,0,,
443,Tony Pike,2010,2010,6-204,CAR,NFL,1,0,6,12,50.00,47,0,0,,0,0.00,60.1,1,10,7.7%,3.92,3.92,2.85,47.0,0,0,0,,
444,Loren Snyder,1987,1987,,DAL,NFL,2,0,4,9,44.44,44,0,0,,0,0.00,59.5,0,0,0.0%,4.89,4.89,4.89,22.0,0,0,0,,
445,Joshua Dobbs,2018,2018,4-135,PIT,NFL,5,0,6,12,50.00,43,0,1,,0,8.33,24.0,0,0,0.0%,3.58,-0.17,-0.17,8.6,,,,,
446,Dave Barr,1995,1995,4-119,RAM,NFL,2,0,5,9,55.56,42,0,0,,0,0.00,67.8,1,4,10.0%,4.67,4.67,3.80,21.0,0,0,0,,
447,Gino Torretta,1993,1996,7-192,TOT,NFL,2,0,5,16,31.25,41,1,1,,6.3,6.25,35.4,3,17,15.8%,2.56,1.00,-0.05,20.5,0,0,0,,
448,Garrett Gilbert,2014,2019,6-214,TOT,NFL,6,0,2,6,33.33,40,0,0,,0,0.00,57.6,1,5,14.3%,6.67,6.67,5.00,6.7,,,,0,0
449,Bernard Quarles,1987,1987,,RAM,NFL,1,0,1,3,33.33,40,1,1,,33.3,33.33,81.9,0,0,0.0%,13.33,5.00,5.00,40.0,0,0,0,,
450,Dameyune Craig,2000,2001,,CAR,NFL,6,0,4,8,50.00,34,0,0,,0,0.00,61.5,2,15,20.0%,4.25,4.25,1.90,5.7,0,0,0,,
451,Dominique Davis,2012,2014,,TOT,NFL,2,0,5,7,71.43,34,0,0,,0,0.00,81.8,0,0,0.0%,4.86,4.86,4.86,17.0,0,0,,0,0
452,Jay Walker,1996,1997,7-198,MIN,NFL,1,0,2,2,100.00,31,0,0,,0,0.00,118.7,0,0,0.0%,15.50,15.50,15.50,31.0,0,0,0,,
453,Scott Covington,1999,2002,7-245,TOT,NFL,4,1,6,10,60.00,30,0,0,,0,0.00,64.6,2,16,16.7%,3.00,3.00,1.17,7.5,1,0,0,,
454,Tony Sacca,1992,1992,2-46,CRD,NFL,2,0,4,11,36.36,29,0,2,,0,18.18,5.3,0,0,0.0%,2.64,-5.55,-5.55,14.5,0,0,0,,
455,Willie Gillus,1987,1987,,GNB,NFL,1,0,2,5,40.00,28,0,0,,0,0.00,58.7,3,14,37.5%,5.60,5.60,1.75,28.0,0,0,0,,
456,Jared Lorenzen,2006,2007,,NYG,NFL,4,0,4,8,50.00,28,0,0,,0,0.00,58.3,1,5,11.1%,3.50,3.50,2.56,7.0,0,0,0,,
457,Jeff Francis,1990,1990,6-140,CLE,NFL,1,0,2,2,100.00,26,0,0,,0,0.00,118.7,0,0,0.0%,13.00,13.00,13.00,26.0,0,0,0,,
458,Ben Bennett,1987,1987,6-148,CIN,NFL,1,0,2,6,33.33,25,0,1,,0,16.67,7.6,0,0,0.0%,4.17,-3.33,-3.33,25.0,0,0,0,,
459,Levi Brown,2010,2010,7-209,BUF,NFL,1,0,2,3,66.67,24,0,1,,0,33.33,51.4,0,0,0.0%,8.00,-7.00,-7.00,24.0,0,0,0,,
460,Jake Rudock,2017,2017,6-191,DET,NFL,3,0,3,5,60.00,24,0,1,1,0,20.00,32.5,0,0,0.0%,4.80,-4.20,-4.20,8.0,,,,,
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD
461,Craig Kupp,1991,1991,5-135,CRD,NFL,1,0,3,7,42.86,23,0,0,,0,0.00,51.5,2,23,22.2%,3.29,3.29,0.00,23.0,0,0,0,,
462,Monte McGuire,1987,1987,,DEN,NFL,2,0,2,3,66.67,23,0,0,,0,0.00,89.6,0,0,0.0%,7.67,7.67,7.67,11.5,0,0,0,,
463,Kevin O'Connell,2008,2008,3-94,NWE,NFL,2,0,4,6,66.67,23,0,0,,0,0.00,73.6,1,2,14.3%,3.83,3.83,3.00,11.5,0,0,0,,
464,Graham Harrell,2012,2012,,GNB,NFL,4,0,2,4,50.00,20,0,0,,0,0.00,64.6,0,0,0.0%,5.00,5.00,5.00,5.0,0,0,,,
465,Mike Quinn,1997,1998,,TOT,NFL,4,0,2,3,66.67,20,0,0,,0,0.00,85.4,0,0,0.0%,6.67,6.67,6.67,5.0,0,0,0,,
466,Turk Schonert,1987,1989,9-242,CIN,NFL,34,1,2,6,33.33,20,0,0,,0,0.00,43.7,2,27,25.0%,3.33,3.33,-0.88,0.6,1,0,0,,
467,Ryan Griffin,2014,2019,,TOT,NFL,2,0,2,4,50.00,18,0,0,,0,0.00,62.5,0,0,0.0%,4.50,4.50,4.50,9.0,,,,0,0
468,Matt Gutierrez,2007,2009,,TOT,NFL,6,0,2,2,100.00,18,0,0,,0,0.00,104.2,0,0,0.0%,9.00,9.00,9.00,3.0,0,0,0,,
469,Kliff Kingsbury,2005,2005,6-201,NYJ,NFL,1,0,1,2,50.00,17,0,0,,0,0.00,79.2,0,0,0.0%,8.50,8.50,8.50,17.0,0,0,0,,
470,Matt Blundin,1993,1997,2-40,TOT,NFL,3,0,2,9,22.22,15,0,2,1,0,22.22,0.0,0,0,0.0%,1.67,-8.33,-8.33,5.0,0,0,0,,
471,Tim Boyle,2019,2019,,GNB,NFL,3,0,3,4,75.00,15,0,0,,0,0.00,80.2,0,0,0.0%,3.75,3.75,3.75,5.0,,,,,
472,James Ritchey,1997,1997,,OTI,NFL,1,0,2,2,100.00,15,0,0,,0,0.00,97.9,1,9,33.3%,7.50,7.50,2.00,15.0,0,0,0,,
473,Jarrett Stidham,2019,2019,4-133,NWE,NFL,3,0,2,4,50.00,14,0,1,1,0,25.00,18.7,1,7,20.0%,3.50,-7.75,-7.60,4.7,,,,,
474,Joe Callahan,2017,2017,,GNB,NFL,1,0,5,7,71.43,11,0,0,,0,0.00,74.1,0,0,0.0%,1.57,1.57,1.57,11.0,,,,,
475,Sean Renfree,2014,2015,7-249,ATL,NFL,2,0,3,7,42.86,11,0,1,,0,14.29,10.7,2,17,22.2%,1.57,-4.86,-5.67,5.5,,,,0,0
476,Adrian Breen,1987,1987,,CIN,NFL,2,1,3,8,37.50,9,1,0,,12.5,0.00,85.4,3,18,27.3%,1.13,3.63,1.00,4.5,0,1,0,,
477,Scott Milanovich,1996,1996,,TAM,NFL,1,0,2,3,66.67,9,0,0,,0,0.00,70.1,0,0,0.0%,3.00,3.00,3.00,9.0,0,0,0,,
478,Mark Miller,1987,1987,,BUF,NFL,1,0,1,3,33.33,9,0,1,,0,33.33,2.8,0,0,0.0%,3.00,-12.00,-12.00,9.0,0,0,0,,
479,Pete Gonzalez,1999,1999,,PIT,NFL,1,0,1,1,100.00,8,0,0,,0,0.00,100.0,0,0,0.0%,8.00,8.00,8.00,8.0,0,0,0,,
480,Scott Stankavage,1987,1987,,MIA,NFL,3,0,4,7,57.14,8,0,1,,0,14.29,22.6,0,0,0.0%,1.14,-5.29,-5.29,2.7,0,0,0,,
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD
481,Kevin Thompson,2000,2000,,CLE,NFL,1,0,1,1,100.00,8,0,0,,0,0.00,100.0,0,0,0.0%,8.00,8.00,8.00,8.0,0,0,0,,
482,B.J. Daniels,2014,2015,7-237,TOT,NFL,8,0,1,2,50.00,7,0,0,,0,0.00,58.3,0,0,0.0%,3.50,3.50,3.50,0.9,,,,0,0
483,Gibran Hamdan,2003,2003,7-232,WAS,NFL,1,0,1,2,50.00,7,0,0,,0,0.00,58.3,1,2,33.3%,3.50,3.50,1.67,7.0,0,0,0,,
484,Bradlee Van Pelt,2005,2005,7-250,DEN,NFL,3,0,2,8,25.00,7,0,0,,0,0.00,39.6,0,0,0.0%,0.88,0.88,0.88,2.3,0,0,0,,
485,Mike Elkins,1989,1989,2-32,KAN,NFL,1,0,1,2,50.00,5,0,1,,0,50.00,16.7,0,0,0.0%,2.50,-20.00,-20.00,5.0,0,0,0,,
486,Kevin Ingram,1987,1987,,NOR,NFL,2,0,1,2,50.00,5,1,0,,50,0.00,95.8,1,6,33.3%,2.50,12.50,6.33,2.5,0,0,0,,
487,Larry Miller,1987,1987,,MIN,NFL,2,0,1,6,16.67,2,0,1,1,0,16.67,0.0,1,10,14.3%,0.33,-7.17,-7.57,1.0,0,0,0,,
488,Cooper Rush,2017,2019,,DAL,NFL,5,0,1,3,33.33,2,0,0,,0,0.00,42.4,0,0,0.0%,0.67,0.67,0.67,0.4,,,,,
489,Wally Richardson,1998,1998,7-234,RAV,NFL,1,0,1,2,50.00,1,0,0,,0,0.00,56.2,0,0,0.0%,0.50,0.50,0.50,1.0,0,0,0,,
490,Pat Barnes,1999,1999,4-110,SFO,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,0,0,0,,
491,Matt Blanchard,2012,2014,,TOT,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,0,0,,0,0
492,Ed Blount,1987,1987,,SFO,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,0,0,0,,
493,Tom Brandstater,2011,2011,6-174,RAM,NFL,1,0,0,2,0.00,0,0,0,,0,0.00,39.6,0,0,0.0%,0.00,0.00,0.00,0.0,,,,,
494,Tyler Bray,2014,2017,,KAN,NFL,1,0,0,1,0.00,0,0,0,,0,0.00,39.6,0,0,0.0%,0.00,0.00,0.00,0.0,,,,0,0
495,Walter Briggs,1987,1987,,NYJ,NFL,1,0,0,2,0.00,0,0,1,,0,50.00,0.0,0,0,0.0%,0.00,-22.50,-22.50,0.0,0,0,0,,
496,Rudy Carpenter,2011,2011,,TAM,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,,,,,
497,Mike Cherry,1997,1998,6-171,NYG,NFL,2,0,0,1,0.00,0,0,0,,0,0.00,39.6,1,9,50.0%,0.00,0.00,-4.50,0.0,0,0,0,,
498,Chuck Clements,1997,1997,6-191,NYJ,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,0,0,0,,
499,B.J. Coleman,2012,2012,7-243,GNB,NFL,,,0,0,,0,0,0,,,,,0,0,,,,,,,,,0,0
500,Zac Dysert,2014,2014,7-234,DEN,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,,0,0
501,Brendan Folmar,1987,1987,,DET,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,0,0,0,,
502,Garrett Grayson,2015,2015,3-75,NOR,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,,,,,
503,Andy Hall,2005,2005,6-185,PHI,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,0,0,0,,
504,Joe Hamilton,2000,2000,7-234,TAM,NFL,1,0,0,0,,0,0,0,,,,,1,1,100.0%,,,-1.00,0.0,0,0,0,,
505,Chandler Harnish,2012,2014,7-253,TOT,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,0,0,,0,0
506,Mark Hartsell,2000,2000,,CHI,NFL,1,0,0,1,0.00,0,0,0,,0,0.00,39.6,0,0,0.0%,0.00,0.00,0.00,0.0,0,0,0,,
507,Doug Hudson,1987,1987,7-186,KAN,NFL,1,1,0,1,0.00,0,0,0,,0,0.00,39.6,1,10,50.0%,0.00,0.00,-5.00,0.0,0,1,0,,
508,Chad Kelly,2018,2018,7-253,DEN,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,,,,,
509,G.J. Kinne,2014,2014,,PHI,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,,0,0
510,Perry Klein,1994,1994,4-111,ATL,NFL,2,0,0,1,0.00,0,0,0,,0,0.00,39.6,2,9,66.7%,0.00,0.00,-3.00,0.0,0,0,0,,
511,Kyle Lauletta,2018,2018,4-108,NYG,NFL,2,0,0,5,0.00,0,0,1,,0,20.00,0.0,0,0,0.0%,0.00,-9.00,-9.00,0.0,,,,,
512,Seth Lobato,2014,2014,,MIA,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,,0,0
513,Ingle Martin,2006,2006,5-148,GNB,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,0,0,0,,
514,Dean May,1987,1987,5-138,DEN,NFL,3,0,0,5,0.00,0,0,1,,0,20.00,0.0,1,7,16.7%,0.00,-9.00,-8.67,0.0,0,0,0,,
515,Trace McSorley,2019,2019,6-197,RAV,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,,,,,
516,Stephen Morris,2014,2014,,JAX,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,,0,0
517,Tyler Murphy,2015,2015,,PIT,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,,,,,
518,Aaron Murray,2014,2014,5-163,KAN,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,,0,0
519,Mike Norseth,1988,1988,7-174,CIN,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,0,0,0,,
520,Tim Riordan,1987,1987,3-73,NOR,NFL,1,0,0,1,0.00,0,0,0,,0,0.00,39.6,0,0,0.0%,0.00,0.00,0.00,0.0,0,0,0,,
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD
521,Jeff Rowe,2007,2007,5-151,CIN,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,0,0,0,,
522,Brad Sorensen,2014,2014,7-221,2TM,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,,0,0
523,Nick Stephens,2012,2012,,DAL,NFL,,,0,0,,0,0,0,,,,,0,0,,,,,,0,0,,0,0
524,Dustin Vaughan,2014,2014,,DAL,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,,0,0
525,Marcus Vick,2006,2006,,MIA,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,0,0,0,,
526,Keith Wenning,2014,2014,6-194,RAV,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,,0,0
527,Pat White,2009,2009,2-44,MIA,NFL,13,0,0,5,0.00,0,0,0,,0,0.00,39.6,1,9,16.7%,0.00,0.00,-1.50,0.0,0,0,0,,
528,Todd Whitten,1987,1987,,NWE,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,0,0,0,,
529,John Witkowski,1988,1988,6-160,DET,NFL,2,0,0,1,0.00,0,0,0,,0,0.00,39.6,0,0,0.0%,0.00,0.00,0.00,0.0,0,0,0,,
530,Tory Woodbury,2001,2002,,NYJ,NFL,12,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,0,0,0,,
531,Scott Woolf,1987,1987,,RAI,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,,0.0,0,0,0,,
532,Todd Husak,2000,2000,6-202,WAS,NFL,1,0,2,2,100.00,-2,0,0,,0,0.00,79.2,0,0,0.0%,-1.00,-1.00,-1.00,-2.0,0,0,0,,
