Rk,Player,From,To,Draft,Tm,Lg,Games G,Games GS,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Int,Passing Pick6,Passing TD%,Passing Int%,Passing Rate,Passing Sk,Passing Yds2,Passing Sk%,Passing Y/A,Passing AY/A,Passing ANY/A,Passing Y/G,Passing W,Passing L,Passing T,Passing 4QC,Passing GWD
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD
361,Clint Stoerner,2000,2001,,DAL,NFL,5,2,29,54,53.70,367,4,5,,7.4,9.26,61.3,7,43,11.5%,6.80,4.11,2.93,73.4,1,1,0,,
362,Travis Brown,2000,2003,,TOT,NFL,4,0,29,52,55.77,361,1,3,1,1.9,5.77,59.9,2,9,3.7%,6.94,4.73,4.39,90.3,0,0,0,,
363,Jeff Brohm,1996,1997,,SFO,NFL,8,0,37,58,63.79,353,1,1,1,1.7,1.72,79.2,7,47,10.8%,6.09,5.66,4.32,44.1,0,0,0,1,1
364,Mike Hohensee,1987,1987,,CHI,NFL,2,2,28,52,53.85,343,4,1,,7.7,1.92,92.1,3,19,5.5%,6.60,7.27,6.53,171.5,2,0,0,,
365,John Navarre,2004,2005,7-202,CRD,NFL,2,1,32,64,50.00,342,2,5,,3.1,7.81,43.9,5,35,7.2%,5.34,2.45,1.77,171.0,0,1,0,,
366,Frank Seurer,1987,1987,3-76,KAN,NFL,8,2,26,55,47.27,340,0,4,,0,7.27,36.9,10,82,15.4%,6.18,2.91,1.20,42.5,0,2,0,,
367,Taylor Heinicke,2017,2018,,TOT,NFL,7,1,36,58,62.07,330,1,3,,1.7,5.17,61.7,3,33,4.9%,5.69,3.71,2.98,47.1,0,1,0,,
368,Dave Wilson,1987,1988,1-1,NOR,NFL,5,0,18,40,45.00,316,2,1,1,5,2.50,78.7,2,21,4.8%,7.90,7.78,6.90,63.2,0,0,0,0,1
369,Matt Stevens,1987,1987,,KAN,NFL,3,2,32,57,56.14,315,1,1,,1.8,1.75,70.4,6,53,9.5%,5.53,5.09,3.76,105.0,0,2,0,,
370,Jeff Tuel,2013,2014,,BUF,NFL,2,1,26,59,44.07,309,1,3,2,1.7,5.08,45.1,2,11,3.3%,5.24,3.29,3.00,154.5,0,1,0,0,0
371,Mike Kelley,1987,1987,6-149,SDG,NFL,3,1,17,29,58.62,305,1,0,,3.4,0.00,106.2,1,7,3.3%,10.52,11.21,10.60,101.7,1,0,0,2,1
372,Brad Goebel,1991,1994,,TOT,NFL,7,2,32,59,54.24,299,0,6,,0,10.17,28.8,6,37,9.2%,5.07,0.49,-0.12,42.7,0,2,0,,
373,Steve Matthews,1997,1998,7-199,TOT,NFL,3,1,28,43,65.12,299,0,0,,0,0.00,85.3,1,0,2.3%,6.95,6.95,6.80,99.7,1,0,0,,
374,Jeff Christensen,1987,1987,5-137,CLE,NFL,3,2,24,58,41.38,297,1,3,,1.7,5.17,42.1,5,37,7.9%,5.12,3.14,2.30,99.0,1,1,0,1,1
375,David Fales,2014,2019,6-183,TOT,NFL,5,0,31,48,64.58,287,1,1,,2.1,2.08,79.1,3,20,5.9%,5.98,5.46,4.75,57.4,,,,0,0
376,Mike Busch,1987,1987,,NYG,NFL,2,1,17,47,36.17,278,3,2,,6.4,4.26,60.4,7,72,13.0%,5.91,5.28,3.26,139.0,0,1,0,,
377,Shawn Halloran,1987,1987,,CRD,NFL,3,2,18,42,42.86,263,0,1,,0,2.38,54.0,5,34,10.6%,6.26,5.19,3.91,87.7,1,1,0,,
378,Brian Brohm,2009,2010,2-56,BUF,NFL,3,2,27,52,51.92,252,0,5,1,0,9.62,26.0,5,13,8.8%,4.85,0.52,0.25,84.0,0,2,0,,
379,Eric Hipple,1988,1989,4-85,DET,NFL,6,1,19,45,42.22,248,0,3,2,0,6.67,32.5,8,51,15.1%,5.51,2.51,1.17,41.3,0,1,0,,
380,Jim Druckenmiller,1997,1998,1-26,SFO,NFL,6,1,21,52,40.38,239,1,4,,1.9,7.69,29.2,4,32,7.1%,4.60,1.52,0.84,39.8,1,0,0,1,1
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD
381,Richard Bartel,2010,2011,,CRD,NFL,3,0,26,50,52.00,236,1,2,1,2,4.00,55.1,3,18,5.7%,4.72,3.32,2.79,78.7,0,0,0,,
382,Rusty Smith,2010,2012,6-176,OTI,NFL,3,1,23,45,51.11,234,0,4,,0,8.89,29.3,1,0,2.2%,5.20,1.20,1.17,78.0,0,1,0,,
383,Shawn Moore,1992,1992,11-284,DEN,NFL,3,0,17,34,50.00,232,0,3,,0,8.82,35.4,6,50,15.0%,6.82,2.85,1.18,77.3,0,0,0,,
384,Will Grier,2019,2019,3-100,CAR,NFL,2,2,28,52,53.85,228,0,4,1,0,7.69,33.2,6,44,10.3%,4.38,0.92,0.07,114.0,0,2,0,,
385,Greg McElroy,2012,2012,7-208,NYJ,NFL,2,1,19,31,61.29,214,1,1,,3.2,3.23,79.2,11,71,26.2%,6.90,6.10,2.81,107.0,0,1,0,1,1
386,Jeff Lewis,1996,2000,4-100,TOT,NFL,12,0,28,54,51.85,210,0,2,1,0,3.70,46.1,10,71,15.6%,3.89,2.22,0.77,17.5,0,0,0,,
387,Henry Burris,2002,2002,,CHI,NFL,6,1,18,51,35.29,207,3,5,,5.9,9.80,28.4,0,0,0.0%,4.06,0.82,0.82,34.5,0,1,0,,
388,Jim Zorn,1987,1987,,TAM,NFL,1,1,20,36,55.56,199,0,2,,0,5.56,48.3,1,6,2.7%,5.53,3.03,2.78,199.0,1,0,0,,
389,Cody Pickett,2004,2005,7-217,SFO,NFL,6,2,18,45,40.00,195,0,4,,0,8.89,16.4,5,30,10.0%,4.33,0.33,-0.30,32.5,0,2,0,,
390,Matt Simms,2013,2014,,NYJ,NFL,4,0,19,39,48.72,195,1,1,,2.6,2.56,61.4,4,23,9.3%,5.00,4.36,3.42,48.8,,,,,
391,Brian St. Pierre,2004,2010,5-163,TOT,NFL,3,1,15,33,45.45,185,2,3,2,6.1,9.09,45.6,3,23,8.3%,5.61,2.73,1.86,61.7,0,1,0,1,1
392,Sammy Garza,1987,1987,8-216,CRD,NFL,2,1,11,20,55.00,183,1,2,,5,10.00,63.1,1,13,4.8%,9.15,5.65,4.76,91.5,0,1,0,,
393,Bob Bleier,1987,1987,,NWE,NFL,3,2,14,39,35.90,181,1,1,,2.6,2.56,49.2,3,28,7.1%,4.64,4.00,3.05,60.3,1,1,0,,
394,Brian McClure,1987,1987,12-313,BUF,NFL,1,1,20,38,52.63,181,0,3,,0,7.89,32.9,2,17,5.0%,4.76,1.21,0.73,181.0,1,0,0,1,1
395,Connor Shaw,2014,2014,,CLE,NFL,1,1,14,28,50.00,177,0,1,,0,3.57,55.2,4,27,12.5%,6.32,4.71,3.28,177.0,0,1,0,,
396,Jeff Van Raaphorst,1987,1987,,ATL,NFL,2,1,18,34,52.94,174,1,2,,2.9,5.88,52.8,3,19,8.1%,5.12,3.06,2.30,87.0,0,1,0,,
397,Randy Fasani,2002,2002,5-137,CAR,NFL,4,1,15,44,34.09,171,0,4,,0,9.09,8.8,7,60,13.7%,3.89,-0.20,-1.35,42.8,0,1,0,,
398,Eric Kresser,1998,1998,,CIN,NFL,2,0,10,21,47.62,164,1,2,,4.8,9.52,50.6,0,0,0.0%,7.81,4.48,4.48,82.0,0,0,0,,
399,Rick Strom,1989,1991,,PIT,NFL,10,0,14,22,63.64,162,0,1,,0,4.55,66.9,5,29,18.5%,7.36,5.32,3.26,16.2,0,0,0,0,0
400,Brock Berlin,2007,2008,,RAM,NFL,2,1,18,31,58.06,159,0,1,,0,3.23,58.4,0,0,0.0%,5.13,3.68,3.68,79.5,0,1,0,,
401,David Archer,1987,1989,,TOT,NFL,26,1,14,37,37.84,157,0,3,,0,8.11,17.5,5,36,11.9%,4.24,0.59,-0.33,6.0,0,1,0,,
402,Nate Sudfeld,2017,2018,6-187,PHI,NFL,3,0,20,25,80.00,156,1,0,,4,0.00,106.0,3,24,10.7%,6.24,7.04,5.43,52.0,,,,0,0
403,Willie Totten,1987,1987,,BUF,NFL,2,1,13,33,39.39,155,2,2,,6.1,6.06,49.4,5,62,13.2%,4.70,3.18,1.13,77.5,0,1,0,,
404,Tony Robinson,1987,1987,,WAS,NFL,1,0,11,18,61.11,152,0,2,,0,11.11,48.6,2,12,10.0%,8.44,3.44,2.50,152.0,0,0,0,,
405,Connor Cook,2016,2016,4-100,RAI,NFL,1,0,14,21,66.67,150,1,1,,4.8,4.76,83.4,2,7,8.7%,7.14,5.95,5.13,150.0,,,,,
406,Trevone Boykin,2016,2016,,SEA,NFL,5,0,13,18,72.22,145,1,1,,5.6,5.56,91.2,1,5,5.3%,8.06,6.67,6.05,29.0,,,,,
407,Joe Germaine,1999,1999,4-101,RAM,NFL,3,0,9,16,56.25,136,1,2,2,6.3,12.50,65.6,3,23,15.8%,8.50,4.13,2.26,45.3,0,0,0,,
408,Matt Mauck,2005,2005,7-225,OTI,NFL,2,1,15,27,55.56,136,0,1,,0,3.70,53.9,1,8,3.6%,5.04,3.37,2.96,68.0,0,1,0,,
409,Dave Ragone,2003,2003,3-88,HTX,NFL,2,2,20,40,50.00,135,0,1,,0,2.50,47.4,8,39,16.7%,3.38,2.25,1.06,67.5,0,2,0,,
410,Matt Cavanaugh,1987,1991,2-50,TOT,NFL,21,0,10,21,47.62,134,2,2,,9.5,9.52,60.5,0,0,0.0%,6.38,4.00,4.00,6.4,0,0,0,,
411,Matt Lytle,2000,2001,,TOT,NFL,4,1,17,30,56.67,133,1,3,1,3.3,10.00,39.3,3,24,9.1%,4.43,0.60,-0.18,33.3,0,1,0,,
412,Ryan Nassib,2014,2015,4-110,NYG,NFL,5,0,9,10,90.00,128,1,0,,10,0.00,152.1,2,11,16.7%,12.80,14.80,11.42,25.6,,,,,
413,Troy Taylor,1990,1991,4-84,NYJ,NFL,7,0,12,20,60.00,125,2,1,,10,5.00,90.6,2,3,9.1%,6.25,6.00,5.32,17.9,0,0,0,,
414,Mike Hold,1987,1987,,TAM,NFL,2,0,8,24,33.33,123,2,1,,8.3,4.17,61.6,3,18,11.1%,5.13,4.92,3.70,61.5,0,0,0,,
415,Taysom Hill,2017,2019,,NOR,NFL,37,9,6,13,46.15,119,0,1,,0,7.69,46.6,2,12,13.3%,9.15,5.69,4.13,3.2,,,,,
416,Jarious Jackson,2000,2003,7-214,DEN,NFL,5,1,11,22,50.00,114,0,1,,0,4.55,46.4,2,11,8.3%,5.18,3.14,2.42,22.8,0,1,0,,
417,Dave Walter,1987,1987,11-307,CIN,NFL,3,2,10,21,47.62,113,0,0,,0,0.00,64.2,2,15,8.7%,5.38,5.38,4.26,37.7,1,1,0,,
418,Reggie Collier,1987,1987,6-162,PIT,NFL,2,0,4,7,57.14,110,2,1,,28.6,14.29,101.8,1,3,12.5%,15.71,15.00,12.75,55.0,0,0,0,,
419,Mike Kafka,2011,2014,4-122,TOT,NFL,4,0,11,16,68.75,107,0,2,,0,12.50,47.7,1,6,5.9%,6.69,1.06,0.65,26.8,,,,0,0
420,Alex Tanney,2012,2019,,TOT,NFL,2,0,11,15,73.33,100,1,0,,6.7,0.00,113.2,3,34,16.7%,6.67,8.00,4.78,50.0,0,0,,0,0
