Rk,Player,From,To,School,G,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Passing Int,Passing Rate
68,Justice Hansen,2016,2018,Arkansas State,38,788,1261,62.5,10133,83,33,146.5
69,Sean Mannion,2011,2014,Oregon State,46,1187,1838,64.6,13600,83,54,135.8
70,Paul Smith,2003,2007,Tulsa,46,808,1292,62.5,10924,83,35,149.3
71,Davis Webb,2013,2016,,35,841,1367,61.5,9852,83,34,137.1
72,Ryan Dinwiddie,2000,2003,Boise State,42,622,992,62.7,9819,82,21,168.9
73,Colin Kaepernick,2007,2010,Nevada,51,740,1271,58.2,10098,82,24,142.5
74,Andrew Luck,2009,2011,Stanford,38,713,1064,67.0,9430,82,22,162.8
75,Ryan Schneider,2000,2003,Central Florida,39,840,1354,62.0,10976,82,51,142.6
76,Kolton Browning,2010,2013,Louisiana-Monroe,46,951,1577,60.3,10263,81,38,127.1
77,Rudy Carpenter,2005,2008,Arizona State,47,799,1309,61.0,10491,81,35,143.4
78,Will Grier,2015,2018,,28,621,945,65.7,8556,81,23,165.2
79,G.J. Kinne,2009,2011,Tulsa,38,732,1195,61.3,9472,81,32,144.8
80,Eli Manning,2000,2003,Mississippi,43,829,1363,60.8,10119,81,35,137.7
Rk,Player,From,To,School,G,Cmp,Att,Pct,Yds,TD,Int,Rate
81,Corey Robinson,2010,2013,Troy,48,1179,1823,64.7,13477,81,48,136.2
82,Jason White,2001,2004,Oklahoma,36,626,988,63.4,7913,81,24,152.8
83,Danny Wimprine,2001,2004,Memphis,46,808,1469,55.0,10215,81,49,124.9
84,Jalen Hurts,2016,2019,,56,682,1047,65.1,9477,80,20,162.6
85,Derek Anderson,2001,2004,Oregon State,43,768,1515,50.7,11249,79,57,122.7
86,John Beck,2003,2006,Brigham Young,43,885,1418,62.4,11021,79,34,141.3
87,Taylor Kelly,2011,2014,Arizona State,39,712,1125,63.3,8819,79,26,147.7
88,Andre Woodson,2004,2007,Kentucky,44,791,1278,61.9,9360,79,25,139.9
89,Joe Burrow,2016,2019,,38,650,945,68.8,8852,78,11,172.4
90,Jake Fromm,2017,2019,Georgia,43,622,983,63.3,8236,78,18,156.2
91,Robert Griffin III,2008,2011,Baylor,41,800,1192,67.1,10366,78,17,158.9
92,Gino Guidugli,2001,2004,Cincinnati,47,880,1556,56.6,11453,78,48,128.8
93,Jared Lorenzen,2000,2003,Kentucky,43,862,1514,56.9,10354,78,41,126.0
94,Rex Grossman,2000,2002,Florida,35,677,1110,61.0,9164,77,36,146.7
95,A.J. McCarron,2010,2013,Alabama,49,686,1026,66.9,9019,77,15,162.5
96,Trace McSorley,2015,2018,Penn State,46,720,1215,59.3,9899,77,25,144.5
97,Alex Brink,2004,2007,Washington State,42,848,1451,58.4,10913,76,43,133.0
98,Ken Dorsey,2000,2002,Miami (FL),35,594,1033,57.5,8758,76,26,148.0
99,Joe Licata,2012,2015,Buffalo,45,823,1359,60.6,9485,76,37,132.2
100,Brett Smith,2011,2013,Wyoming,35,751,1212,62.0,8834,76,28,139.3
101,Rusty Smith,2006,2009,Florida Atlantic,43,768,1361,56.4,10112,76,36,132.0
102,Casey Clausen,2000,2003,Tennessee,45,775,1270,61.0,9707,75,31,139.8
103,Kevin Hogan,2012,2015,Stanford,50,727,1103,65.9,9385,75,29,154.6
104,Brett Hundley,2012,2014,UCLA,40,837,1241,67.4,9966,75,25,150.8
